route,beacon_index,lat,lon,is_endpoint
"97 St & N T2.gpx",114,40.794966913116035,-73.95992626120817,0
"97 St & N T2.gpx",115,40.794974,-73.9599976155487,0
"97 St & N T2.gpx",116,40.79497340338132,-73.96014242992982,0
"97 St & N T2.gpx",117,40.794978890352596,-73.96021417599782,0
"97 St & N T2.gpx",118,40.79499573097142,-73.9602829165857,0
"97 St & N T2.gpx",119,40.79501701844378,-73.96034964020166,0
"97 St & N T2.gpx",120,40.79503584676526,-73.96041761770798,0
"97 St & N T2.gpx",121,40.79504622428736,-73.9604886096638,0
"97 St & N T2.gpx",122,40.795049511528475,-73.96056083005006,0
"97 St & N T2.gpx",123,40.79505056413152,-73.96063323268011,0
"97 St & N T2.gpx",124,40.79505477024751,-73.9607053578464,0
"97 St & N T2.gpx",125,40.79507614850278,-73.96077180029884,0
"97 St & N T2.gpx",126,40.795107904388004,-73.96083079725364,0
"97 St & N T2.gpx",127,40.79514577502917,-73.96088292238605,0
"97 St & N T2.gpx",128,40.7951867932894,-73.96092935152325,0
"97 St & N T2.gpx",129,40.795239326802985,-73.96094952929639,0
"97 St & N T2.gpx",130,40.79533886793717,-73.96101025375701,0
"97 St & N T2.gpx",131,40.795389453985536,-73.96103804978998,0
"97 St & N T2.gpx",132,40.79569901943751,-73.96118429605254,0
"97 St & N T2.gpx",133,40.79575251000023,-73.96119989763893,0
"97 St & N T2.gpx",134,40.79580682756678,-73.96120970497734,0
"97 St & N T2.gpx",135,40.795839911992104,-73.96115828249881,0
"97 St & N T2.gpx",136,40.79586580712071,-73.96109448639125,0
"97 St & N T2.gpx",137,40.79588431973016,-73.96102637821268,0
"97 St & N T2.gpx",138,40.79590414134477,-73.96088417310457,0
"97 St & N T2.gpx",139,40.79594608627485,-73.96085688645542,0
"97 St & N T2.gpx",140,40.79610774354525,-73.96081690278983,0
"97 St & N T2.gpx",141,40.79616030394238,-73.9607979551146,0
"97 St & N T2.gpx",142,40.79620552562796,-73.96075747437203,0
"97 St & N T2.gpx",143,40.79624801915957,-73.96073194823681,0
"97 St & N T2.gpx",144,40.79625260099815,-73.96065978427912,0
"97 St & N T2.gpx",145,40.7962809577257,-73.9606258173126,0
"97 St & N T2.gpx",146,40.796289,-73.960627,1
"97 St & N T3.gpx",0,40.791764,-73.962296,1
"97 St & N T3.gpx",1,40.79172902827414,-73.96229411051792,0
"97 St & N T3.gpx",2,40.791681,-73.962088,1
"97 St & N T4.gpx",0,40.793778,-73.958059,1
"97 St & N T4.gpx",1,40.794036281244495,-73.95814974147878,0
"97 St & N T4.gpx",2,40.7941,-73.958096,1
"97 St & N T5.gpx",0,40.793778,-73.958059,1
"97 St & N T5.gpx",1,40.794036281244495,-73.95814974147878,0
"97 St & N T5.gpx",2,40.794079,-73.958116,1
"Central Park S & N T 4.gpx",0,40.773765,-73.975905,1
"Central Park S & N T 4.gpx",1,40.774048630514365,-73.9756852469982,0
"Central Park S & N T 4.gpx",2,40.77432238848725,-73.97544679679659,0
"Central Park S & N T 4.gpx",3,40.77443927346407,-73.97531373713727,0
"Central Park S & N T 4.gpx",4,40.77447857690852,-73.97532884618296,0
"Central Park S & N T 4.gpx",5,40.77458088655298,-73.97507456723508,0
"Central Park S & N T 4.gpx",6,40.774627,-73.9747185189704,0
"Central Park S & N T 4.gpx",7,40.774628,-73.974595,1
"Central Park S & N T 5.gpx",0,40.772824,-73.973811,1
"Central Park S & N T 5.gpx",1,40.77275655742195,-73.97361339659973,0
"Central Park S & N T 5.gpx",2,40.772734,-73.973416,1
"Central Park S & N T1.gpx",0,40.779137,-73.973142,1
"Central Park S & N T1.gpx",1,40.77909329409661,-73.97309829409662,0
